scenario_id,density_cap,response_profile,rho,tau,stage1_benchmark,objective_bound,stage2_service_lower,stage2_service_upper,stage2_objective,realized_sacrifice,realized_sacrifice_percent,selected_y_json,selected_z_json,selected_w_json,admissible_policy_count,service_tie_count,bisection_steps,bisection_resolution,maximum_oracle_gap
k1p50__base,1.5,base,0.0,0.0,1070.808480778403,1070.808490778403,0.19390869140625,0.1939697265625,1070.808480778403,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]",1,1,14,0.0001,6.821210263296962e-13
k1p50__base,1.5,base,0.0,0.001,1070.808480778403,1071.8792892591814,0.19390869140625,0.1939697265625,1070.808480778403,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]",1,1,14,0.0001,6.821210263296962e-13
k1p50__base,1.5,base,0.0,0.005,1070.808480778403,1076.162523182295,0.19390869140625,0.1939697265625,1070.808480778403,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]",5,5,14,0.0001,9.094947017729282e-13
k1p50__base,1.5,base,0.1,0.0,1146.8351330696726,1146.8351430696725,0.19390869140625,0.1939697265625,1146.8351330696726,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223969,0.0,96.98202567760309]",1,1,14,0.0001,6.821210263296962e-13
k1p50__base,1.5,base,0.1,0.001,1146.8351330696726,1147.981968202742,0.19390869140625,0.1939697265625,1146.8351330696726,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223969,0.0,96.98202567760309]",1,1,14,0.0001,6.821210263296962e-13
k1p50__base,1.5,base,0.1,0.005,1146.8351330696726,1152.5693087350207,0.22003173828125,0.2200927734375,1148.6976763704213,1.8625433007487118,0.1624072412015615,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,475.58988421040806,60.758090111988835,96.98202567760315]",5,1,14,0.0001,9.094947017729282e-13
k1p50__base,1.5,base,0.125,0.0,1155.1919800018952,1155.1919900018952,0.19390869140625,0.1939697265625,1155.1919800018952,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.347974322397,0.0,96.98202567760303]",1,1,14,0.0001,4.547473508864641e-13
k1p50__base,1.5,base,0.125,0.001,1155.1919800018952,1156.347171981897,0.19390869140625,0.1939697265625,1155.1919800018952,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.347974322397,0.0,96.98202567760303]",1,1,14,0.0001,4.547473508864641e-13
k1p50__base,1.5,base,0.125,0.005,1155.1919800018952,1160.9679399019046,0.19390869140625,0.1939697265625,1155.1919800018952,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.347974322397,0.0,96.98202567760303]",5,5,14,0.0001,6.821210263296962e-13
k1p50__base,1.5,base,0.25,0.0,1165.256040442061,1165.256050442061,0.19390869140625,0.1939697265625,1165.256040442061,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223966,0.0,96.98202567760345]",1,1,14,0.0001,6.821210263296962e-13
k1p50__base,1.5,base,0.25,0.001,1165.256040442061,1166.421296482503,0.19390869140625,0.1939697265625,1165.256040442061,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223966,0.0,96.98202567760345]",1,1,14,0.0001,6.821210263296962e-13
k1p50__base,1.5,base,0.25,0.005,1165.256040442061,1171.0823206442712,0.19390869140625,0.1939697265625,1165.256040442061,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223966,0.0,96.98202567760345]",5,5,14,0.0001,6.821210263296962e-13
k3p00__base,3.0,base,0.0,0.0,1070.808480778403,1070.808490778403,0.19390869140625,0.1939697265625,1070.808480778403,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]",1,1,14,0.0001,6.821210263296962e-13
k3p00__base,3.0,base,0.0,0.001,1070.808480778403,1071.8792892591814,0.19390869140625,0.1939697265625,1070.808480778403,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]",1,1,14,0.0001,6.821210263296962e-13
k3p00__base,3.0,base,0.0,0.005,1070.808480778403,1076.162523182295,0.19390869140625,0.1939697265625,1070.808480778403,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]",5,5,14,0.0001,9.094947017729282e-13
k3p00__base,3.0,base,0.1,0.0,1172.5637661671522,1172.5637761671521,0.28302001953125,0.2830810546875,1172.5637661671522,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,281.7932239470066,254.55475037539077,96.98202567760268]",1,1,14,0.0001,4.547473508864641e-13
